player_hand,dealer_hand,is_soft_hand,is_pair,Action,Q-Value
4,1,False,False,h,2.178749690689654
4,2,False,False,st,4.438070773525968
4,6,False,False,st,6.098920124586977
4,7,False,False,h,7.036475656860499
4,9,False,False,st,4.185334914687958
4,10,False,False,h,0.39329633783555884
5,1,False,False,h,2.081254628993532
5,2,False,False,h,5.408657238987016
5,3,False,False,h,7.286085336540764
5,4,False,False,h,5.02755473711242
5,5,False,False,h,6.562978126831449
5,6,False,False,h,6.724064889178939
5,7,False,False,h,6.374071831718414
5,8,False,False,h,5.053330447386199
5,9,False,False,h,4.079007156280507
5,10,False,False,h,4.550299298822531
6,1,False,False,h,2.010364823114433
6,2,False,False,dd,6.991509360187232
6,3,False,False,h,5.702760093686473
6,4,False,False,h,5.899322608490793
6,5,False,False,h,7.137617685395445
6,6,False,False,h,4.588310717491878
6,7,False,False,h,6.929535605519581
6,8,False,False,h,6.224628336147069
6,9,False,False,h,4.777404550593778
6,10,False,False,h,5.527370180363791
7,1,False,False,h,1.8069503551912434
7,2,False,False,h,4.221532595320185
7,3,False,False,dd,6.585983554641404
7,4,False,False,h,5.897026838864477
7,5,False,False,h,4.742507829835282
7,6,False,False,dd,9.116137745291347
7,7,False,False,h,6.874209374353329
7,8,False,False,h,6.045094883774498
7,9,False,False,h,3.8926893367787514
7,10,False,False,dd,2.122203689685402
8,1,False,False,h,1.4335361291496869
8,2,False,False,h,6.87161384931612
8,3,False,False,dd,7.957358392744853
8,4,False,False,h,5.466239385442518
8,5,False,False,h,7.394956179277573
8,6,False,False,dd,8.331994520742493
8,7,False,False,dd,6.958158180081382
8,8,False,False,h,6.288744053538955
8,9,False,False,h,4.660057096441797
8,10,False,False,h,3.625513960073387
9,1,False,False,h,2.884593966268009
9,2,False,False,h,7.777082454294532
9,3,False,False,h,7.841631848928367
9,4,False,False,h,6.654760145286808
9,5,False,False,dd,8.06119459898459
9,6,False,False,h,9.251474729286075
9,7,False,False,dd,11.644999877476028
9,8,False,False,dd,6.198946521512347
9,9,False,False,h,6.4808004443266
9,10,False,False,h,5.793718369804381
10,1,False,False,h,3.8948075876317723
10,2,False,False,dd,9.686814537135886
10,3,False,False,h,8.134273120482737
10,4,False,False,dd,9.843116844953833
10,5,False,False,dd,11.669707264218356
10,6,False,False,h,8.835208490472027
10,7,False,False,h,9.512806292710486
10,8,False,False,h,10.022295440270442
10,9,False,False,h,7.958408408231161
10,10,False,False,h,8.648124322188107
11,1,False,False,h,10.242210909596096
11,2,False,False,dd,20.250823503846224
11,3,False,False,dd,13.07447741227887
11,4,False,False,h,12.800957221873508
11,5,False,False,h,11.240536715194624
11,6,False,False,dd,13.84742944792293
11,7,False,False,h,13.923111491485711
11,8,False,False,dd,20.923044055328628
11,9,False,False,dd,14.271287292847182
11,10,False,False,dd,12.994422147386286
12,1,False,False,h,1.7638363979502167
12,2,False,False,h,7.561309251888412
12,3,False,False,dd,8.853376785969417
12,4,False,False,h,5.124373802232258
12,5,False,False,h,3.24609622338802
12,6,False,False,dd,8.433911965029974
12,7,False,False,h,6.556950428246315
12,8,False,False,h,6.457127890045494
12,9,False,False,h,3.4689477260575226
12,10,False,False,h,3.0712280072810696
13,1,False,False,h,2.9246928822649556
13,2,False,False,h,5.995203202645602
13,3,False,False,dd,4.127371707657365
13,4,False,False,dd,10.816470011423483
13,5,False,False,h,5.706055191191261
13,6,False,False,h,6.865610257766905
13,7,False,False,h,3.0301366066442386
13,8,False,False,h,4.9812172216847435
13,9,False,False,h,4.73320254574904
13,10,False,False,h,2.8857289203522867
14,1,False,False,h,2.875777885186555
14,2,False,False,dd,4.043662942263928
14,3,False,False,st,4.549116757595429
14,4,False,False,h,3.995364143655775
14,5,False,False,h,5.816616707571612
14,6,False,False,st,4.482393914576919
14,7,False,False,dd,5.443020841788075
14,8,False,False,h,4.595274265473366
14,9,False,False,dd,6.872368205248795
14,10,False,False,h,1.5626960103956646
15,1,False,False,sp,0.1
15,2,False,False,sr,1.2149237108705164
15,3,False,False,h,2.9366179764424687
15,4,False,False,h,3.1001185558190754
15,5,False,False,st,3.5402644301887642
15,6,False,False,h,6.887219092137392
15,7,False,False,h,5.7396932957846545
15,8,False,False,dd,9.555150603022302
15,9,False,False,h,1.421072727556369
15,10,False,False,h,4.520333036270045
16,1,False,False,sp,0.1
16,2,False,False,h,6.1007409687866225
16,3,False,False,st,3.1882033143744266
16,4,False,False,st,4.279731846658646
16,5,False,False,st,5.0380799714823254
16,6,False,False,st,2.323778078499377
16,7,False,False,h,3.432683142846466
16,8,False,False,h,4.670630643820037
16,9,False,False,h,2.789100957075546
16,10,False,False,dd,3.1340393264345754
17,1,False,False,sp,0.1
17,2,False,False,st,2.744205710197929
17,3,False,False,st,4.862194318307588
17,4,False,False,st,6.486662809188912
17,5,False,False,st,4.581082319677128
17,6,False,False,st,7.405001498606466
17,7,False,False,st,6.052063397433862
17,8,False,False,st,0.7785955410271125
17,9,False,False,h,4.310788655929863
17,10,False,False,sp,0.1
18,1,False,False,sp,0.1
18,2,False,False,st,6.851431163955289
18,3,False,False,st,7.9630049840086485
18,4,False,False,st,6.900128355311508
18,5,False,False,st,7.84783272914205
18,6,False,False,st,8.069175195160014
18,7,False,False,st,10.490328860407661
18,8,False,False,st,6.681913700696912
18,9,False,False,st,1.719845672763681
18,10,False,False,st,2.383494230577106
19,1,False,False,st,4.948508095802944
19,2,False,False,st,11.740943627704631
19,3,False,False,st,9.878378119787977
19,4,False,False,st,10.781027449709809
19,5,False,False,st,12.525939427619205
19,6,False,False,st,11.67809678275498
