player_hand,dealer_hand,is_soft_hand,is_pair,Action,Q-Value
4,1,0,1,st,1.9821013490808355
4,1,0,1,h,0.4355138138006293
4,1,0,1,dd,3.116412142239923
4,1,0,1,sr,1.9081421477816989
4,1,0,1,sp,5.5748194238012285
4,1,0,0,st,-0.0010000000000000009
4,1,0,0,h,5.551473624128702
4,1,0,0,dd,-0.0010000000000000009
4,1,0,0,sr,-0.0010000000000000009
4,1,0,0,sp,0.1
4,1,1,0,st,0.1
4,1,1,0,h,0.1
4,1,1,0,dd,0.1
4,1,1,0,sr,0.1
4,1,1,0,sp,0.1
4,2,0,1,st,1.3490791156771755
4,2,0,1,h,8.116930850719609
4,2,0,1,dd,3.560451982194992
4,2,0,1,sr,1.9575764137027576
4,2,0,1,sp,3.08550683822269
4,2,0,0,st,-0.0010000000000000009
4,2,0,0,h,0.693950631545634
4,2,0,0,dd,0.1
4,2,0,0,sr,0.1
4,2,0,0,sp,0.1
4,3,0,1,st,3.5543938305354064
4,3,0,1,h,1.3118215406579115
4,3,0,1,dd,4.2634283982371555
4,3,0,1,sr,3.8130849361239494
4,3,0,1,sp,8.036121957819644
4,3,0,0,st,-0.10632792563076243
4,3,0,0,h,8.192806462121098
4,3,0,0,dd,0.962013318366425
4,3,0,0,sr,0.7959668278191413
4,3,0,0,sp,0.1
4,3,1,0,st,0.1
4,3,1,0,h,0.1
4,3,1,0,dd,0.1
4,3,1,0,sr,0.1
4,3,1,0,sp,0.1
4,4,0,1,st,3.666795688553672
4,4,0,1,h,2.82426174108887
4,4,0,1,dd,2.9078030460133695
4,4,0,1,sr,3.0571701141918064
4,4,0,1,sp,7.414372573851587
4,4,0,0,st,6.304672239897385
4,4,0,0,h,0.5188949498910643
4,4,0,0,dd,2.5626090763040654
4,4,0,0,sr,2.072691948005995
4,4,0,0,sp,0.1
4,5,0,1,st,5.3043215230617475
4,5,0,1,h,3.692513372493842
4,5,0,1,dd,7.588849548788294
4,5,0,1,sr,4.716634566845684
4,5,0,1,sp,3.9420469013432538
4,6,0,1,st,2.287385425647698
4,6,0,1,h,3.80382981366734
4,6,0,1,dd,3.878544459995439
4,6,0,1,sr,4.031183070356252
4,6,0,1,sp,7.901726528083212
4,6,0,0,st,6.922876777458308
4,6,0,0,h,2.3247773918051906
4,6,0,0,dd,1.2495703205481545
4,6,0,0,sr,0.199
4,6,0,0,sp,0.1
4,7,0,1,st,2.5617129008410915
4,7,0,1,h,6.437304956299373
4,7,0,1,dd,2.601370316550852
4,7,0,1,sr,1.0565204786361342
4,7,0,1,sp,2.5422776625451515
4,7,0,0,st,-0.0010000000000000009
4,7,0,0,h,0.099
4,7,0,0,dd,0.1
4,7,0,0,sr,-0.0010000000000000009
4,7,0,0,sp,0.1
4,8,0,1,st,3.6058308639114967
4,8,0,1,h,5.137115386962049
4,8,0,1,dd,3.5763383262204425
4,8,0,1,sr,2.161192205877812
4,8,0,1,sp,7.308006367608076
4,8,0,0,st,1.5099501357061027
4,8,0,0,h,7.91019599886835
4,8,0,0,dd,1.5148662956920451
4,8,0,0,sr,1.1486124500420565
4,8,0,0,sp,0.1
4,9,0,1,st,2.782560135409544
4,9,0,1,h,4.359269090722086
4,9,0,1,dd,3.9559526688742124
4,9,0,1,sr,4.261705039126921
4,9,0,1,sp,8.213035982131977
4,9,0,0,st,0.7319067367440426
4,9,0,0,h,8.39668930970819
4,9,0,0,dd,0.7768976422620433
4,9,0,0,sr,0.695673196524898
4,9,0,0,sp,0.1
4,10,0,1,st,6.708363686335362
4,10,0,1,h,8.41899965350591
4,10,0,1,dd,7.689240700755593
4,10,0,1,sr,7.313414641057852
4,10,0,1,sp,7.62975482413284
4,10,0,0,st,1.6019890918430109
4,10,0,0,h,8.113667767459225
4,10,0,0,dd,2.7444945341020532
4,10,0,0,sr,1.9937878410396295
4,10,0,0,sp,0.1
4,10,1,0,st,0.1
4,10,1,0,h,0.1
4,10,1,0,dd,0.1
4,10,1,0,sr,0.1
4,10,1,0,sp,0.1
5,1,0,0,st,3.2618205338112123
5,1,0,0,h,5.6278870935385905
5,1,0,0,dd,4.365813669242042
5,1,0,0,sr,3.731505157832112
5,1,0,0,sp,0.1
5,1,1,0,st,0.1
5,1,1,0,h,0.1
5,1,1,0,dd,0.1
5,1,1,0,sr,0.1
5,1,1,0,sp,0.1
5,2,0,0,st,5.704956124340515
5,2,0,0,h,8.367089123334429
5,2,0,0,dd,5.65561107142924
5,2,0,0,sr,5.819269054434597
5,2,0,0,sp,0.1
5,3,0,0,st,5.547922352943964
5,3,0,0,h,8.054145239100583
5,3,0,0,dd,6.481287788651446
5,3,0,0,sr,5.961864612381658
5,3,0,0,sp,0.1
5,3,1,0,st,0.1
5,3,1,0,h,0.1
5,3,1,0,dd,0.1
5,3,1,0,sr,0.1
5,3,1,0,sp,0.1
5,4,0,0,st,5.462844663569619
5,4,0,0,h,8.19591874209001
