player_hand,dealer_hand,is_soft_hand,is_pair,Action,Q-Value
4,1,0,st,-0.0010000000000000009
4,1,0,h,0.5115052407107479
4,1,0,dd,-0.08844980490180165
4,1,0,sr,0.1
4,1,0,sp,0.1
4,2,0,st,0.09209950099999997
4,2,0,h,0.7525569185339962
4,2,0,dd,0.1
4,2,0,sr,0.099
4,2,0,sp,0.1
4,3,0,st,-0.0010000000000000009
4,3,0,h,0.35881820079151505
4,3,0,dd,0.000922594898519008
4,3,0,sr,0.099
4,3,0,sp,1.4921878864373737
4,4,0,st,-0.0010000000000000009
4,4,0,h,0.09765432686054873
4,4,0,dd,-0.0010000000000000009
4,4,0,sr,0.21001940003154232
4,4,0,sp,0.991195760596811
4,4,1,st,0.1
4,4,1,h,0.1
4,4,1,dd,0.1
4,4,1,sr,0.1
4,4,1,sp,0.1
4,5,0,st,-0.0010000000000000009
4,5,0,h,0.18706156171397298
4,5,0,dd,0.04313161589347081
4,5,0,sr,0.099
4,5,0,sp,1.1924841973081985
4,5,1,st,0.1
4,5,1,h,0.1
4,5,1,dd,0.1
4,5,1,sr,0.1
4,5,1,sp,0.1
4,6,0,st,0.09701
4,6,0,h,0.09891000000000001
4,6,0,dd,1.6255551560706503
4,6,0,sr,0.1
4,6,0,sp,0.099
4,7,0,st,-0.0010000000000000009
4,7,0,h,0.6107622744431829
4,7,0,dd,-0.0010000000000000009
4,7,0,sr,0.099
4,7,0,sp,2.579735389104221
4,8,0,st,0.09701
4,8,0,h,0.4375939748592118
4,8,0,dd,0.08964319815369375
4,8,0,sr,0.09801
4,8,0,sp,1.415683540229045
4,8,1,st,0.1
4,8,1,h,0.1
4,8,1,dd,0.1
4,8,1,sr,0.1
4,8,1,sp,0.1
4,9,0,st,-0.0010000000000000009
4,9,0,h,0.09869049
4,9,0,dd,0.0724500397014195
4,9,0,sr,0.25308462583434305
4,9,0,sp,0.9078055706332847
4,10,0,st,0.08571370865024913
4,10,0,h,1.8255354710688785
4,10,0,dd,0.1
4,10,0,sr,0.1
4,10,0,sp,0.1
5,1,0,st,0.1
5,1,0,h,0.35948408013115635
5,1,0,dd,0.1
5,1,0,sr,0.1
5,1,0,sp,0.1
5,2,0,st,0.15633267316481714
5,2,0,h,0.6955943818708048
5,2,0,dd,0.08810000000000001
5,2,0,sr,0.0981
5,2,0,sp,0.1
5,3,0,st,-0.08511474299169919
5,3,0,h,0.8790008069359632
5,3,0,dd,0.002612845254145388
5,3,0,sr,0.099
5,3,0,sp,0.1
5,4,0,st,0.23112241701621186
5,4,0,h,0.863468518419639
5,4,0,dd,0.07349784961513339
5,4,0,sr,0.099
5,4,0,sp,0.1
5,5,0,st,0.1
5,5,0,h,0.9399180725388783
5,5,0,dd,0.2750121348199354
5,5,0,sr,0.1799636852130196
5,5,0,sp,0.1
5,6,0,st,0.1
5,6,0,h,1.187420307590175
5,6,0,dd,0.1
5,6,0,sr,0.16839342664914772
5,6,0,sp,0.1
5,7,0,st,-0.0010000000000000009
5,7,0,h,2.0912781006839913
5,7,0,dd,-0.0011710000000000054
5,7,0,sr,-0.0010900000000000076
5,7,0,sp,0.1
5,8,0,st,0.09209950099999997
5,8,0,h,2.1529488775046617
5,8,0,dd,0.08800999999999999
5,8,0,sr,0.09729
5,8,0,sp,0.1
5,8,1,st,0.1
5,8,1,h,0.1
5,8,1,dd,0.1
5,8,1,sr,0.1
5,8,1,sp,0.1
5,9,0,st,0.09701
5,9,0,h,1.0312486231433426
5,9,0,dd,-0.0010000000000000009
5,9,0,sr,0.09729
5,9,0,sp,0.1
5,10,0,st,0.15224280703174864
5,10,0,h,0.8742125079311731
5,10,0,dd,0.047319110497104945
5,10,0,sr,0.1888406639818761
5,10,0,sp,0.1
6,1,0,st,-0.11867747045643534
6,1,0,h,0.49650068766916444
6,1,0,dd,0.005197493321000002
6,1,0,sr,0.09639
6,1,0,sp,0.099
6,2,0,st,0.08256971518359105
6,2,0,h,0.7723224024441185
6,2,0,dd,0.08033779238026413
6,2,0,sr,0.11153752339932053
6,2,0,sp,0.2190377105938848
6,3,0,st,0.09701
6,3,0,h,1.3494245234310553
6,3,0,dd,0.1
6,3,0,sr,0.15178893331267107
6,3,0,sp,0.1155928798379855
6,4,0,st,0.09701
6,4,0,h,1.057744694856815
6,4,0,dd,0.08810000000000001
6,4,0,sr,0.099
6,4,0,sp,0.099
6,5,0,st,-0.0010000000000000009
6,5,0,h,1.1829447914921012
6,5,0,dd,0.0659368947571867
6,5,0,sr,0.099
6,5,0,sp,0.2698347838691841
6,6,0,st,-0.0010000000000000009
6,6,0,h,1.9789175299830215
6,6,0,dd,0.03756243955177373
6,6,0,sr,0.09729
6,6,0,sp,0.19998698005071786
6,7,0,st,0.11107857818055683
6,7,0,h,2.3574866027127763
6,7,0,dd,0.007178494254625606
6,7,0,sr,0.29687258574603786
6,7,0,sp,0.1081387491376671
6,8,0,st,-0.0010000000000000009
6,8,0,h,1.4417913834371812
6,8,0,dd,0.027543359003603926
6,8,0,sr,0.11779904422634466
6,8,0,sp,0.09801
6,9,0,st,-0.07797198010598316
6,9,0,h,1.0909056688922614
6,9,0,dd,-0.0010000000000000009
6,9,0,sr,0.0981
6,9,0,sp,0.1
6,9,1,st,0.1
6,9,1,h,0.1
6,9,1,dd,0.1
6,9,1,sr,0.1
6,9,1,sp,0.1
6,10,0,st,0.0748785589253421
6,10,0,h,1.4571129168935066
6,10,0,dd,0.005686792393561133
6,10,0,sr,0.20427301165156234
6,10,0,sp,0.1
7,1,0,st,-0.0010000000000000009
7,1,0,h,0.45393929263754185
7,1,0,dd,-0.0010000000000000009
7,1,0,sr,0.09430467210000001
7,1,0,sp,0.1
7,2,0,st,-0.12350686578507608
7,2,0,h,0.8883039659022122
7,2,0,dd,0.07829
7,2,0,sr,0.13413616032337145
7,2,0,sp,0.1
7,3,0,st,0.08532652093010003
7,3,0,h,1.1812827995328588
7,3,0,dd,-0.0010000000000000009
7,3,0,sr,0.0981
7,3,0,sp,0.1
7,4,0,st,-0.0010000000000000009
7,4,0,h,0.6902540656676976
7,4,0,dd,-0.0010000000000000009
7,4,0,sr,0.099
7,4,0,sp,0.1
