player_hand,dealer_hand,is_soft_hand,bet,Q-Value
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,-0.006461081889226675
4,1,0,0,-0.018530201888518415
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,-0.025418658283290006
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0.0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,-0.04346590566442589
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,-0.02078960793498734
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,-0.025418658283290006
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,-0.009847709021836116
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,-0.016677181699666574
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,-0.03168664522936647
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,-0.012157665459056933
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,-0.0042391158275216214
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,-6.46108188922668e-05
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,-0.013640061766145194
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,-0.016677181699666574
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,-0.015009463529699917
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0.0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,-0.020589113209464906
4,1,0,6,0
4,1,0,7,0
4,1,0,8,0
4,1,0,9,0
4,1,0,10,0
4,1,0,11,0
4,1,0,12,0
4,1,0,13,0
4,1,0,14,0
4,1,0,15,0
4,1,0,16,0
4,1,0,17,0
4,1,0,18,0
4,1,0,19,0
4,1,0,20,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
