sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp,sp,sp,sp,sp,sp,sp,sp,sp,sp
sp
