true_count,bet,Q-Value
-1.2,100,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.1,0,"[-4.901000000000001, -5.5873210156390005, -0.5873210156390001, 0.099, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, -3.1010899999999992, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.1,100,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.0,0,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 36.297290000000004, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.0,100,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-0.9,0,"[-0.5873210156390001, 21.842571345317786, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, -19.901, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-0.9,100,"[0.1, 0.9359110651295411, 0.1, -14.606093244908894, 0.1, 0.1, -4.901000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-0.8,0,"[-4.901000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-0.8,100,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-0.7,0,"[-9.901, -4.901000000000001, 0.099, 69.0091182759093, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, -9.901, 0.1, 0.1, 0.1, -1.975926119, 0.1]"
-0.7,100,"[0.1, 0.1, 10.099000000000002, 0.1, 0.1, 0.1, 20.998910000000002, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, -4.606093244908895, 0.1, 0.1]"
-0.5,0,"[0.1, 0.1, -19.901, -7.3991791, 0.1, 0.1, 5.443510761185067, -9.901, 0.1, 0.1, 0.9989100000000003, 0.1, 0.1, 0.1, -4.901000000000001, 0.1, 0.099, 0.1, 68.44622348591558, 0.1, 0.1]"
-0.5,100,"[0.1, -9.901, 0.1, 0.1, 0.1, 0.1, 8.258939007049879, 0.1, 0.1, 0.1, -9.00109, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 8.098100000000002, 0.1, 0.1]"
-0.4,0,"[3.6989099999999997, 0.1, 0.1, -23.9248639, 0.1, 0.1, 0.1, 92.41204753131967, 0.1, 0.1, 0.1, 0.1, 0.1, -7.3991791, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
