true_count,bet,Q-Value
-2.3,0,"[0.1, 0.1, 101.56357743214294, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-2.1,0,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 140.9706132876115, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-2.1,100,"[0.1, 0.1, 69.03314236444677, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 179.0412491904712, 0.1, 0.1, 0.1, 0.1, 0.1, 20.099000000000004, 0.1, 0.1]"
-2.0,0,"[0.1, 0.1, 0.1, 0.1, 0.1, 175.21571002296082, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-2.0,100,"[43.49710034205219, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 102.4898994410314, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.9,0,"[713.8546558947022, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.099, 0.1, 0.1]"
-1.9,100,"[428.6638004817418, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.8,0,"[923.7375687164291, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.099, 0.1, 0.1, 0.1, 0.1, 0.1, 125.08861270128762, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.8,100,"[657.4938209108111, 805.221705317221, 0.1, 0.1, 189.3107405905453, 393.7100960278256, 0.1, 87.72479380404218, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.7,0,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 213.23015565770683, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.7,100,"[0.1, 118.27272131757098, 0.1, 0.1, 0.1, 22.670276783902114, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.6,0,"[0.099, 1112.5221348321422, 86.98226083288665, 0.1, 0.1, 68.0708147748656, 0.1, 0.099, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.6,100,"[914.5257110528223, 1105.3857069460396, 0.1, 0.1, 1190.7818133284838, 317.0010839124337, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 194.6736257932762, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.5,0,"[0.1, 0.1, 0.1, 0.1, 245.46483254612306, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.5,100,"[216.12562168629, 131.3343796525949, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.4,0,"[0.1, 195.16239930918346, 0.1, 0.1, 1043.288387928585, 24.95039122178212, 0.1, 70.42556035732268, 89.18275598940379, 136.97751981583943, 0.1, 98.0695274520498, 160.2342924508203, 81.96870575950882, 0.1, 0.1, 0.1, 20.099000000000004, 0.1, 109.73773640698708, 0.1]"
-1.4,100,"[991.6375527751063, 1176.1867938389894, 431.37204229233305, 0.1, 1161.5025184742062, 701.5456555692334, 0.1, 48.29429540002648, 0.1, 0.1, 0.1, 0.1, 0.1, 682.4088836999285, 0.1, 0.1, 0.1, 0.1, 284.8933255255672, 0.1, 0.1]"
-1.3,0,"[0.1, 0.1, 0.1, 204.34007508610011, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.3,100,"[308.65256965996446, 0.1, 0.1, 0.1, 266.4600304621116, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 194.56782627317153, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.2,0,"[1116.8654955014895, 101.29849586100009, 0.1, 0.1, 39.67984952729576, 0.1, 199.29574626179487, 189.66551552697535, 0.1, 0.1, 140.61030903577077, 266.0138146443335, 78.8027454319608, 0.1, 44.82369540497931, 0.1, 81.24944080764125, 0.1, 0.1, 54.844036537299935, 116.69357443601294]"
-1.2,100,"[1040.6977112931334, 691.1786421391222, 1099.900443039873, 0.1, 1027.8674772312347, 1067.3808947864359, 0.1, 0.1, 139.31920408069854, 0.1, 0.1, 101.63337460846282, 102.22009932113382, 1127.8531657815827, 0.1, 0.1, 0.1, 0.1, 608.5715210114811, 71.55225395609013, 222.01813368584965]"
-1.1,0,"[102.69238634252977, 0.1, 219.64240417763455, 0.1, 178.57515385946436, 124.42186705202369, 142.2763618919682, 0.1, 220.76034208620524, 199.6043483024169, 292.0204277208474, 0.1, 168.33203075665585, 1063.4305239409427, 0.1, 0.1, 228.6455806702858, 395.18063090441615, 0.1, 108.10114768292271, 209.02286419363963]"
-1.1,100,"[1118.3727705922695, 576.0326067106167, 1141.3650789277915, 0.1, 992.7113785546627, 1172.6347935379822, 0.1, 95.65170682300578, 138.63239838606555, 108.27117092537587, 153.78011034952073, 379.4510680045345, 182.49723711101464, 1171.8416630658232, 131.66542815037332, 570.7060278755689, 224.36384575175725, 102.42294715114032, 876.8514963014294, 291.8871217634774, 388.9394491130339]"
