player_hand,dealer_hand,is_soft_hand,Action,Q-Value
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.35406757827116536
4,1,0,double down,0.08855319530818428
4,1,0,surrender,0.053114129727473654
4,1,0,surrender,0.47228516550333477
4,1,0,stand,-0.05945263527843873
4,1,0,hit,0.18385368884260822
4,1,0,double down,-0.0010900000000000076
4,1,0,surrender,0.09801
4,1,0,surrender,0.5777689282562368
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.4251803862759881
4,1,0,double down,0.006313723301046514
4,1,0,surrender,0.10829287505100017
4,1,0,surrender,0.1
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.20328717925096423
4,1,0,double down,0.08810000000000001
4,1,0,surrender,0.05357600540586815
4,1,0,surrender,0.14385942858039744
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.4063449345504595
4,1,0,double down,-0.0010000000000000009
4,1,0,surrender,0.05074133582123036
4,1,0,surrender,0.31130273174358997
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.48362914569070503
4,1,0,double down,-0.0010000000000000009
4,1,0,surrender,0.14539984694950323
4,1,0,surrender,0.09861785316900001
4,1,0,stand,-0.06594277046285273
4,1,0,hit,0.2651042835252163
4,1,0,double down,0.0969567795974839
4,1,0,surrender,0.099
4,1,0,surrender,0.41513014462686093
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.5888617684309059
4,1,0,double down,-0.0792690227889601
4,1,0,surrender,0.09801
4,1,0,surrender,0.15502809159747288
4,1,0,stand,-0.08571396071717066
4,1,0,hit,0.13062653953206707
4,1,0,double down,0.09703618831558139
4,1,0,surrender,0.09801
4,1,0,surrender,0.680775024028561
4,1,0,stand,0.09701
4,1,0,hit,0.5594633081464945
4,1,0,double down,-0.0010000000000000009
4,1,0,surrender,0.0970299
4,1,0,surrender,0.0979004151
4,1,0,stand,-0.04911352488551465
4,1,0,hit,0.099
4,1,0,double down,-0.000784399164527258
4,1,0,surrender,0.0976403952034168
4,1,0,surrender,0.43422866790918413
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.2013931433070893
4,1,0,double down,-0.0006937660123894351
4,1,0,surrender,0.099
4,1,0,surrender,0.6755329245253436
4,1,0,stand,-0.08491260004622997
4,1,0,hit,0.12108920644241082
4,1,0,double down,-0.0010000000000000009
4,1,0,surrender,0.08408073466414755
4,1,0,surrender,0.3105402724183388
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.09732527711100002
4,1,0,double down,-0.0011791000000000162
4,1,0,surrender,0.3257833169537898
4,1,0,surrender,0.7103008843529781
4,1,0,stand,-0.07052206320817604
4,1,0,hit,0.32908970039051844
4,1,0,double down,0.007542807673281318
4,1,0,surrender,0.099
4,1,0,surrender,0.4905108283967167
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.6565117197224853
4,1,0,double down,-0.0010900000000000076
4,1,0,surrender,0.09801
4,1,0,surrender,0.5995131310330699
4,1,0,stand,-0.04886921686896067
