player_hand,dealer_hand,is_soft_hand,Action,Q-Value
4,1,0,stand,0.09701
4,1,0,hit,0.1
4,1,0,double down,0.1
4,1,0,surrender,0.1
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.0988209
4,1,0,double down,-0.0016114118688370926
4,1,0,surrender,0.099
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.099
4,1,0,double down,-0.0010000000000000009
4,1,0,surrender,0.099
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.09797746384544517
4,1,0,double down,-0.0005361099051536533
4,1,0,surrender,0.099
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.0985589104491
4,1,0,double down,0.1
4,1,0,surrender,0.1
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.099
4,1,0,double down,-0.002259474808228412
4,1,0,surrender,0.1
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.09891000000000001
4,1,0,double down,0.1989864248450976
4,1,0,surrender,0.1
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.1
4,1,0,double down,-0.0010000000000000009
4,1,0,surrender,0.1
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.09874953900000001
4,1,0,double down,0.1
4,1,0,surrender,0.1
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.09891000000000001
4,1,0,double down,0.1
4,1,0,surrender,0.099
4,1,0,stand,0.1
4,1,0,hit,0.1
4,1,0,double down,-0.0016114118688370926
4,1,0,surrender,0.1
4,1,0,stand,0.1
4,1,0,hit,0.1
4,1,0,double down,-0.0020225361545548326
4,1,0,surrender,0.099
4,1,0,stand,0.1
4,1,0,hit,0.1
4,1,0,double down,0.1
4,1,0,surrender,0.099
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.1
4,1,0,double down,0.1
4,1,0,surrender,0.099
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.1
4,1,0,double down,0.1
4,1,0,surrender,0.099
4,1,0,stand,0.1
4,1,0,hit,0.1
4,1,0,double down,-0.0011791000000000162
4,1,0,surrender,0.1
4,1,0,stand,0.1
4,1,0,hit,0.0971425285527929
4,1,0,double down,0.1
4,1,0,surrender,0.1
4,1,0,stand,0.1
4,1,0,hit,0.1
4,1,0,double down,0.1
4,1,0,surrender,0.099
4,1,0,stand,-0.0010000000000000009
4,1,0,hit,0.1
4,1,0,double down,0.1
4,1,0,surrender,0.1
4,2,0,stand,0.1
4,2,0,hit,0.10384354884898438
4,2,0,double down,0.1
4,2,0,surrender,0.1
4,2,0,stand,-0.0010000000000000009
4,2,0,hit,0.09745222560066137
4,2,0,double down,0.00474401087756901
4,2,0,surrender,0.099
4,2,0,stand,-0.0010000000000000009
4,2,0,hit,0.099
4,2,0,double down,0.1965907303268896
4,2,0,surrender,0.1
4,2,0,stand,-0.0010000000000000009
4,2,0,hit,0.123104128042161
4,2,0,double down,0.018566990000000005
4,2,0,surrender,0.1
4,2,0,stand,-0.0010000000000000009
4,2,0,hit,0.09617110326726498
4,2,0,double down,0.08801899999999999
4,2,0,surrender,0.099
4,2,0,stand,0.1
4,2,0,hit,0.10048982319000001
4,2,0,double down,0.1
4,2,0,surrender,0.1
4,2,0,stand,-0.0010000000000000009
4,2,0,hit,0.1
4,2,0,double down,0.1
4,2,0,surrender,0.1
4,2,0,stand,-0.0010000000000000009
4,2,0,hit,0.10190735401481621
4,2,0,double down,0.1
4,2,0,surrender,0.099
4,2,0,stand,-0.0010000000000000009
4,2,0,hit,0.0988209
4,2,0,double down,0.1
4,2,0,surrender,0.1
4,2,0,stand,0.09701
4,2,0,hit,0.09805804428832846
4,2,0,double down,0.00791
4,2,0,surrender,0.1
4,2,0,stand,0.09701
4,2,0,hit,0.1
4,2,0,double down,0.1
4,2,0,surrender,0.099
4,2,0,stand,-0.0010000000000000009
4,2,0,hit,0.1
4,2,0,double down,0.1
4,2,0,surrender,0.099
4,2,0,stand,-0.0010000000000000009
4,2,0,hit,0.09822165522735278
4,2,0,double down,0.1
4,2,0,surrender,0.1
4,2,0,stand,-0.0010000000000000009
4,2,0,hit,0.09781871231492081
4,2,0,double down,0.1
4,2,0,surrender,0.1
4,2,0,stand,-0.0010000000000000009
4,2,0,hit,0.1
4,2,0,double down,0.1
4,2,0,surrender,0.099
4,2,0,stand,0.1
4,2,0,hit,0.1
4,2,0,double down,0.1
4,2,0,surrender,0.099
4,2,0,stand,0.199
4,2,0,hit,0.1
4,2,0,double down,0.1
4,2,0,surrender,0.099
4,3,0,stand,-0.0010000000000000009
4,3,0,hit,0.09721467530585143
4,3,0,double down,-0.001526678655390995
4,3,0,surrender,0.099
4,3,0,stand,0.1
4,3,0,hit,0.1
4,3,0,double down,0.09701
4,3,0,surrender,0.1
4,3,0,stand,0.09701
4,3,0,hit,0.09797746384544517
4,3,0,double down,0.1
4,3,0,surrender,0.1
4,3,0,stand,0.09701
4,3,0,hit,0.0975106238530508
4,3,0,double down,-0.0010000000000000009
4,3,0,surrender,0.1
4,3,0,stand,-0.0010000000000000009
4,3,0,hit,0.15293509018549759
4,3,0,double down,-0.0840521344609
4,3,0,surrender,0.099
4,3,0,stand,0.199
4,3,0,hit,0.1
4,3,0,double down,0.1
4,3,0,surrender,0.099
4,3,0,stand,-0.0010000000000000009
4,3,0,hit,0.1
4,3,0,double down,0.1
4,3,0,surrender,0.1
4,3,0,stand,0.3940399
4,3,0,hit,0.1
4,3,0,double down,0.1
4,3,0,surrender,0.1
4,3,0,stand,0.199
4,3,0,hit,0.1
4,3,0,double down,0.1
4,3,0,surrender,0.1
4,3,0,stand,0.29701
4,3,0,hit,0.099
4,3,0,double down,0.1
4,3,0,surrender,0.1
4,3,0,stand,-0.0010000000000000009
4,3,0,hit,0.09891000000000001
4,3,0,double down,0.33004154051695295
4,3,0,surrender,0.1
4,3,0,stand,0.1
4,3,0,hit,0.12204217963681133
4,3,0,double down,0.1
4,3,0,surrender,0.1
4,3,0,stand,0.09701
4,3,0,hit,0.09789768920699071
4,3,0,double down,0.002444072481489881
4,3,0,surrender,0.1
4,3,0,stand,0.1
4,3,0,hit,0.1
4,3,0,double down,0.2150819490847232
4,3,0,surrender,0.1
4,3,0,stand,0.1
4,3,0,hit,0.1
4,3,0,double down,0.1
4,3,0,surrender,0.099
4,3,0,stand,0.1
4,3,0,hit,0.1
4,3,0,double down,0.1
4,3,0,surrender,0.099
4,3,0,stand,0.199
4,3,0,hit,0.1
4,3,0,double down,-0.0023368800601461237
4,3,0,surrender,0.1
4,3,0,stand,0.199
4,3,0,hit,0.1
4,3,0,double down,0.1
4,3,0,surrender,0.099
4,3,0,stand,-0.0010000000000000009
4,3,0,hit,0.1
4,3,0,double down,0.1
4,3,0,surrender,0.1
4,4,0,stand,-0.0010000000000000009
4,4,0,hit,0.09962031463106785
4,4,0,double down,-0.0010000000000000009
4,4,0,surrender,0.099
4,4,0,stand,0.1
4,4,0,hit,0.1
4,4,0,double down,0.26037987576760896
4,4,0,surrender,0.1
4,4,0,stand,-0.0010000000000000009
4,4,0,hit,0.099
4,4,0,double down,0.06590823419895418
4,4,0,surrender,0.1
4,4,0,stand,0.1
4,4,0,hit,0.1
4,4,0,double down,0.45354772202486615
4,4,0,surrender,0.1
4,4,0,stand,-0.0010000000000000009
4,4,0,hit,0.1
4,4,0,double down,0.1
4,4,0,surrender,0.099
