true_count,bet,Q-Value
-2.1,0,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 2.897557820861235, 0.1, 0.1]"
-2.0,0,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 66.77806248092213, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-2.0,100,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.9,100,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 91.58156803703652, 0.1, 0.1, 31.195086898458165, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 49.59191202022863, 0.1, 0.1]"
-1.8,0,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 4.553272081820576, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.8,100,"[95.10542569075527, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.6,0,"[0.099, 417.45782061467713, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.099, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.6,100,"[120.01928943525466, 193.256564218046, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.4,0,"[663.4444116371391, 0.1, 0.099, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.4,100,"[338.85228460243934, 151.30002577469418, -0.6267267683536452, 0.1, 70.55912363992981, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 608.6382465078088]"
-1.3,100,"[97.62211415921195, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.2,0,"[0.1, 0.1, 66.61220258442607, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 806.8431148968069]"
-1.2,100,"[856.9914974042752, 150.84811978852963, 0.1, 0.1, 601.056384708256, 0.1, 191.50246992612762, 73.37185010777655, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 19.0941109152485, 0.1, 0.1, 0.1, 0.1, 0.1, 708.2501216002471]"
-1.1,0,"[771.7781732863807, 0.1, 88.78602839931986, 0.1, 44.82095975345538, 0.1, 0.1, 77.53704867845917, 0.1, 0.1, 0.1, 0.1, -6.820329342024101, 0.1, 128.9882798921288, 79.95177272333231, 0.1, 0.1, 0.1, 0.1, 0.1]"
-1.1,100,"[970.0605602030853, 900.7707408604981, 0.1, 0.1, 761.7291141510907, 0.1, 278.2200923849878, 67.75514868270359, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 877.955296420974]"
-1.0,0,"[-7.464020362925968, -10.949771930370275, -4.865561015482692, 0.099, 897.9491787343898, 129.80505975796842, 0.1, 0.1, 90.77792289265031, 65.56426823309538, 0.1, 0.1, 0.1, 0.1, 70.05653272210566, 0.1, -4.901000000000001, 0.1, 0.1, 0.1, 0.1]"
-1.0,100,"[45.73294466550854, 707.8227599818531, 0.1, 27.41321026909334, 703.7776602578481, 0.1, 363.45701933735734, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 83.79404839836678, 0.1, 0.1, 0.1, 0.1, 0.1, 549.8344280533805]"
-0.9,0,"[74.58235469039484, 888.4033159430553, 59.67275086270783, 180.30613484938746, -7.4428110757815995, 111.43874424127623, 0.1, 23.340505814924704, 0.1, 103.87560027020591, 0.1, 96.25475849343849, 0.1, 0.1, 58.071634938573055, 152.45818617223048, 68.16874203810609, 0.1, 0.1, 68.11585473774853, 176.5075486002812]"
-0.9,100,"[793.510397567966, 911.7834687304354, 78.78602839931986, 66.54496469441729, 944.5616225791146, 102.57188290812746, 999.6281413567295, 0.1, 0.1, 81.82696139354552, 0.1, 0.1, 0.1, 0.1, 451.456076926543, 128.71529273330117, 0.1, 0.1, 0.1, 0.1, 951.3499177555952]"
-0.8,0,"[22.356300061483743, 0.1, 0.1, 0.1, 0.1, 0.1, 804.8891343512578, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 15.614162663126747, 0.1, 0.1, 0.1]"
-0.8,100,"[-5.272313409951709, 0.1, 0.1, 43.99396828622131, 124.56888755050466, 0.1, 441.19672662655245, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 77.48076950668957, 0.1, 0.1, 5.614162663126745, 0.1, 0.1, 641.0268158102837]"
-0.7,0,"[288.7681680245074, 251.41088021488176, -4.901000000000001, 234.54373266161141, 170.50902349273244, 246.34094702520196, 25.431411202244824, 104.29742247326712, 89.08180480353475, 69.44442042997356, 215.34236468350966, 101.34534878370387, 214.5522491669539, 140.3337233125785, 73.17428460102434, 0.1, 0.1, 0.1, 85.79026682482882, 87.07490166283858, 929.5195860430716]"
-0.7,100,"[692.5081970455213, 940.2056425513113, 0.1, 0.1, 964.802998570853, 283.44867612584926, 924.207511285004, 0.1, 91.55912664655527, 0.1, 0.1, 0.1, 174.9501286585407, 302.1085119356245, 839.9173998110285, 0.1, 58.37209498177965, 90.47971220077235, 63.579942221154575, 104.6361186342476, 814.3353547965988]"
-0.5,0,"[211.59028791323078, 156.7817265400738, 266.6219136767383, 386.85267210950644, 179.44877060801784, 193.91665792169078, 915.7403064612317, 220.2396395215971, 444.1593060683468, 167.2906618513989, 188.4531335834502, 178.70946845193973, 149.1741913461024, 82.25066932313442, 75.69535095725116, 91.76384543490938, 132.12426236865264, 336.6239737571747, 56.654469849954395, 209.7467762168273, 116.95112981679442]"
-0.5,100,"[310.2652713601119, 858.7461176770269, 204.36857982611463, 164.34327039969475, 932.1438800551191, -15.865901675414465, 845.389849064263, -17.24154650617867, 0.1, 167.59354630930403, 58.40063801328812, 179.0759568697846, 697.7979349143378, 902.2612424161114, 976.4999426824907, 0.1, 104.27848475874694, 109.13955174264144, 0.1, 76.69768977062887, 853.9366962859159]"
-0.4,0,"[357.35803339439803, 84.71131372030167, 41.13214329813602, 84.71131372030167, 842.3093026142955, 0.1, 80.03019677575, 158.70168498455092, 92.60928623613877, 0.1, 177.50966594258458, 80.02494967327587, 149.1700116457215, 260.20773337964687, 88.1376010710918, 85.95297383666738, 92.42171625439153, 148.5125937749131, 101.13393142502689, 138.58469481572945, 87.61500112492223]"
-0.4,100,"[240.43797149540094, 460.2797764523666, 109.07372645828495, 0.1, 904.0399318773732, 52.66979042567589, 851.7672727531907, 180.2953812074959, 0.1, 85.57802024573151, 102.83365628970496, 51.13582731591121, 661.6588981116533, 875.9935015630396, 879.9958410617882, 98.05888550289492, 0.1, 0.1, 5.41657052304479, 15.3624649937851, 861.7988685710151]"
-0.3,0,"[55.96743631918369, 254.1682706741555, -17.10199, 304.8283787370112, 849.411600910592, 0.1, 128.6787266653864, 232.96501519670903, 84.72463341182771, 369.0510001480409, 432.06216087323014, 194.9479284135906, 338.4078772297081, 0.1, 285.8759032296282, 614.2086792010532, 72.03794328086282, 98.95765863509315, 175.5833789292704, 390.4277635781332, 299.945896716402]"
